source,stage_num,stage,quantity,value,unit
left_gripper,1,raw_colour,frame width,1280,px
left_gripper,1,raw_colour,frame height,720,px
left_gripper,1,raw_colour,"focus, variance of Laplacian",38.2,-
left_gripper,1,raw_colour,pixels clipped white,0.013,%
left_gripper,1,raw_colour,pixels crushed black,0.111,%
left_gripper,1,raw_colour,mean blue,147.52,0-255
left_gripper,1,raw_colour,mean green,145.33,0-255
left_gripper,1,raw_colour,mean red,151.81,0-255
left_gripper,1,raw_colour,median grey,154,0-255
left_gripper,1,raw_colour,grey std,56.3,0-255
left_gripper,2,intrinsics,fx,1298,px
left_gripper,2,intrinsics,fy,1299,px
left_gripper,2,intrinsics,cx,620.914,px
left_gripper,2,intrinsics,cy,238.2803,px
left_gripper,2,intrinsics,image centre u,640,px
left_gripper,2,intrinsics,image centre v,360,px
left_gripper,2,intrinsics,principal point offset from centre,123.21,px
left_gripper,2,intrinsics,that offset at 1 m range,94.9,mm
left_gripper,2,intrinsics,horizontal field of view,52.504,deg
left_gripper,2,intrinsics,vertical field of view,30.988,deg
left_gripper,2,intrinsics,ground sample distance at 1 m,0.7706,mm/px
left_gripper,3,hsv,median hue,133,0-179
left_gripper,3,hsv,median saturation,16,0-255
left_gripper,3,hsv,median value,163,0-255
left_gripper,3,hsv,pixels below S=80,85.812,%
left_gripper,3,hsv,pixels below V=40,0.803,%
left_gripper,3,hsv,pixels above V=200,25.277,%
left_gripper,4,green_threshold,hue low,40,0-179
left_gripper,4,green_threshold,hue high,85,0-179
left_gripper,4,green_threshold,saturation floor,80,0-255
left_gripper,4,green_threshold,value floor,40,0-255
left_gripper,4,green_threshold,pixels selected,31333,px
left_gripper,4,green_threshold,fraction of the frame,3.3998,%
left_gripper,4,green_threshold,median S of the selected,108,0-255
left_gripper,4,green_threshold,median V of the selected,142,0-255
left_gripper,5,morphology,kernel,9x9,px
left_gripper,5,morphology,pixels before,31333,px
left_gripper,5,morphology,pixels after,30550,px
left_gripper,5,morphology,pixels removed,783,px
left_gripper,5,morphology,removed,2.499,%
left_gripper,5,morphology,blobs before,26,count
left_gripper,5,morphology,blobs after,2,count
left_gripper,6,components,components over 40 px,2,count
left_gripper,6,components,largest area,30450,px
left_gripper,6,components,total area kept,30550,px
left_gripper,6,components,median area,1.528e+04,px
left_gripper,7,vocabulary,colour terms tested,11,count
left_gripper,7,vocabulary,terms with any pixels,7,count
left_gripper,7,vocabulary,largest term,white,-
left_gripper,7,vocabulary,its pixel count,234609,px
left_gripper,8,region_mean,regions tested,2,count
left_gripper,8,region_mean,regions passing,0,count
left_gripper,8,region_mean,regions rejected as near-black,0,count
left_gripper,8,region_mean,blue ratio threshold,1.25,-
left_gripper,8,region_mean,red ratio threshold,1.8,-
left_gripper,8,region_mean,near-black floor,25,0-255
left_gripper,9,minarearect,contours measured,1,count
left_gripper,9,minarearect,aspect gate for publishing yaw,1.15,-
left_gripper,9,minarearect,yaws published,0,count
left_gripper,9,minarearect,yaws withheld as degenerate,1,count
left_gripper,10,size_at_range,fx used,1298,px
left_gripper,10,size_at_range,assumed object width,40,mm
left_gripper,10,size_at_range,near limit of the window,0.25,m
left_gripper,10,size_at_range,far limit of the window,1.5,m
left_gripper,10,size_at_range,blobs tested,1,count
left_gripper,10,size_at_range,blobs accepted,1,count
left_gripper,10,size_at_range,blobs rejected,0,count
left_gripper,11,fastsam,regions returned,32,count
left_gripper,11,fastsam,largest region,464645,px
left_gripper,11,fastsam,largest as a fraction of the frame,50.42,%
left_gripper,11,fastsam,smallest region,283,px
left_gripper,11,fastsam,median region,9224,px
left_gripper,11,fastsam,inference time,6.1,s
left_gripper,11,fastsam,input size,1024,px
left_gripper,11,fastsam,confidence threshold,0.25,-
left_gripper,11,fastsam,NMS IoU,0.7,-
left_gripper,11,fastsam,device,cpu,-
left_gripper,12,area_filter,regions in,32,count
left_gripper,12,area_filter,kept,30,count
left_gripper,12,area_filter,rejected as noise,0,count
left_gripper,12,area_filter,rejected as too large,2,count
left_gripper,12,area_filter,lower bound,60,px
left_gripper,12,area_filter,upper bound,322560,px
left_gripper,12,area_filter,upper bound as a fraction,0.35,-
left_gripper,15,raw_depth,depth width,480,px
left_gripper,15,raw_depth,depth height,270,px
left_gripper,15,raw_depth,pixels with a return,115923,px
left_gripper,15,raw_depth,that fraction,89.45,%
left_gripper,15,raw_depth,median range,2.222,m
left_gripper,15,raw_depth,5th percentile,0.426,m
left_gripper,15,raw_depth,95th percentile,5.474,m
left_gripper,15,raw_depth,nearest return,0.362,m
left_gripper,15,raw_depth,furthest return,10.565,m
left_gripper,15,raw_depth,returns inside this camera's working band,54789,px
left_gripper,15,raw_depth,band near,0.08,m
left_gripper,15,raw_depth,band far,1.5,m
left_gripper,16,alignment,points projected,66603,count
left_gripper,16,alignment,points falling outside the colour frame,48825,count
left_gripper,16,alignment,colour pixels given a depth,64.43,%
left_gripper,16,alignment,splat radius,1,px
left_gripper,16,alignment,baseline x,-27.06,mm
left_gripper,16,alignment,baseline y,-9.97,mm
left_gripper,16,alignment,baseline z,-4.71,mm
left_gripper,16,alignment,rotation assumed,identity,-
left_gripper,17,deprojection,points lifted,54789,count
left_gripper,17,deprojection,fx,360.013,px
left_gripper,17,deprojection,fy,360.013,px
left_gripper,17,deprojection,cx,243.872,px
left_gripper,17,deprojection,cy,137.922,px
left_gripper,17,deprojection,X minimum,-0.4166,m
left_gripper,17,deprojection,X maximum,0.6905,m
left_gripper,17,deprojection,Y minimum,-0.0666,m
left_gripper,17,deprojection,Y maximum,0.3889,m
left_gripper,17,deprojection,Z minimum,0.362,m
left_gripper,17,deprojection,Z maximum,1.085,m
left_gripper,17,deprojection,centroid X,0.0155,m
left_gripper,17,deprojection,centroid Y,0.0825,m
left_gripper,17,deprojection,centroid Z,0.5687,m
left_gripper,18,ransac,normal x,-0.2488,-
left_gripper,18,ransac,normal y,-0.8831,-
left_gripper,18,ransac,normal z,-0.3977,-
left_gripper,18,ransac,offset d,0.295,m
left_gripper,18,ransac,points fitted,54789,count
left_gripper,18,ransac,points scored,54789,count
left_gripper,18,ransac,inliers,40517,count
left_gripper,18,ransac,inlier fraction,73.95,%
left_gripper,18,ransac,residual RMS,1.428,mm
left_gripper,18,ransac,inlier tolerance,6,mm
left_gripper,18,ransac,RANSAC iterations,400,count
left_gripper,18,ransac,angle to the optical axis,66.56,deg
left_gripper,19,pca_refine,normal moved,0,deg
left_gripper,19,pca_refine,RMS before refinement,1.428,mm
left_gripper,19,pca_refine,RMS after refinement,1.428,mm
left_gripper,19,pca_refine,inliers with the matched pair,40517,count
left_gripper,19,pca_refine,inliers with a mixed normal and offset,40517,count
left_gripper,19,pca_refine,inliers lost by mixing,0,count
left_gripper,20,height_map,height threshold,5,mm
left_gripper,20,height_map,points above it,9568,count
left_gripper,20,height_map,that fraction,17.463,%
left_gripper,20,height_map,tallest point,91.05,mm
left_gripper,20,height_map,lowest point,-644.91,mm
left_gripper,20,height_map,median height,0.134,mm
left_gripper,21,mode_surface,bin width,2,mm
left_gripper,21,mode_surface,points binned,54789,count
left_gripper,21,mode_surface,share in the fullest bin,45.35,%
left_gripper,21,mode_surface,share required,20,%
left_gripper,21,mode_surface,modal bin centre,-0.2949,m
left_gripper,21,mode_surface,refined estimate,-0.295,m
left_gripper,21,mode_surface,spread of the inliers,1.428,mm
left_gripper,21,mode_surface,inlier band,6,mm
left_gripper,21,mode_surface,a plain mean would say,-0.3029,m
left_gripper,21,mode_surface,that mean's error,7.9,mm
left_gripper,21,mode_surface,RANSAC's own offset,-0.295,m
left_gripper,21,mode_surface,the two estimators differ by,0.018,mm
left_gripper,22,on_surface,pieces standing on the surface,4,count
left_gripper,22,on_surface,height threshold,5,mm
left_gripper,22,on_surface,largest piece,90395,px
left_gripper,22,on_surface,tallest piece,70.6,mm
left_gripper,23,cube_measurement,object points,1049,count
left_gripper,23,cube_measurement,points that are the colour but ON the plane,1215,count
left_gripper,23,cube_measurement,points off the plane but not the colour,8519,count
left_gripper,23,cube_measurement,top above the plane,57.26,mm
left_gripper,23,cube_measurement,median height,32.15,mm
left_gripper,23,cube_measurement,centre x,0.0707,m
left_gripper,23,cube_measurement,centre y,0.0482,m
left_gripper,23,cube_measurement,centre z,0.5185,m
left_gripper,23,cube_measurement,range to the centre,0.5255,m
